Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ant's Corner],Price [Ant's Corner],In stock [Ant's Corner],Low stock [Ant's Corner]
foil-fringe-curtain-2m--silver,10597,FOIL FRINGE CURTAIN 2M- SILVER,Party Needs,,N,,,,,,,30,137341680776,,,Y,Y,45,4,1
folding-fan-cake-topper--large,10542,FOLDING FAN CAKE TOPPER LARGE- GOLD/BEIGE,Cake Accessories,,N,,,,,,,17,137341680777,,,Y,Y,40,21,5
folding-fan-cake-topper-pink--large,10622,FOLDING FAN CAKE TOPPER LARGE- PINK,Cake Accessories,,N,,,,,,,9.46,137341680778,,,Y,Y,40,13,2
folding-fan-cake-topper-large--violet,10960,FOLDING FAN CAKE TOPPER LARGE- VIOLET,Cake Accessories,,N,,,,,,,17,137341680779,,,Y,Y,40,3,1
folding-fan-cake-topper--small,10541,FOLDING FAN CAKE TOPPER SMALL- GOLD/BEIGE,Cake Accessories,,N,,,,,,,12,137341680780,,,Y,Y,35,24,5
folding-fan-cake-topper-pink--small,10623,FOLDING FAN CAKE TOPPER SMALL- PINK,Cake Accessories,,N,,,,,,,4.46,137341680781,,,Y,Y,35,5,2
folding-fan-cake-topper-small--violet,10961,FOLDING FAN CAKE TOPPER SMALL- VIOLET,Cake Accessories,,N,,,,,,,12,137341680782,,,Y,Y,35,3,1
fork-white-20s,10111,FORK 25's (GILAS),Packaging & Containers,,N,,,,,,,7.4,527341680562,,,Y,Y,15,0,10
FM10042,1333,FREETO MARGARINE 1KG,Baking Supplies,,N,,,,,,,110,527341680295,,,Y,Y,133,0,1
FS10045,1336,FREETO SHORTENING 1KG,Baking Supplies,,N,,,,,,,110,527341680296,,,Y,Y,133,0,1
fried-garlic-1kg,10733,FRIED GARLIC 1KG,Cooking Ingredients,,N,,,,,,,103.5,137341680783,,,Y,Y,140,20,10
fruit-c-mint-candy,10827,FRUIT C MINT CANDY,Candies & Sweets,,N,,,,,,,3.83,137341680784,,,Y,Y,10,5,10
fruit-c-mint-candy-30's,10828,FRUIT C MINT CANDY 30'S,Candies & Sweets,,N,,,,,,,115,137341680785,,,Y,Y,150,0,1
crystal-jelly-1kg-pouch-(assorted),10580,FRUIT JELLY 1KG- POUCH (ASSORTED),Drink Ingredients,,N,,,,,,,70,137341680786,,,Y,Y,130,13,5
crystal-jelly-1kg-pouch-(nata-white),10581,FRUIT JELLY 1KG- POUCH (NATA WHITE),Drink Ingredients,,N,,,,,,,54.07,137341680787,,,Y,Y,125,4,5
